Name,Brand,Price,Discount,Image_Link,Rating,Number of Ratings,Reviews,Current Views,Description
Dre Slim Boyfriend Jeans,Dre Slim Boyfriend Jeans,$225.00,,https://n.nordstrommedia.com/id/sr3/a159bdab-2cc3-46d0-993b-8406ca3a811e.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,3.8 out of 5,(6),"[['Rag & Bone does it again!', ""I am so happy with these jeans! They are extremely soft and comfortable. They do run a bit large, but I did not size down in them. I like the looser boyfriend fit. I am usually a size 28, but have gained the Covid 10, so a 29 is sometimes more comfortable. The 28 is a bit loose in these but super comfortable and the perfect fit for what I want. For reference, I am 5'10 and 154 pounds currently."", '80'], ['Soft and good boyfriend fit!', 'I wear a lot of jeans and this pair is a keeper. The material is super soft although not stretchy so you shouldn’t think they’ll move much with you. Very slim through the hips.', '80'], ['fit too big', 'Great quality, amazing color but fits larger than previous Dre. I would say size down at least 1 size or even 2. I had to return because 23 was one size too big.', '64'], ['Soft and grey', 'I love this jean. I have another pair of the Dre from several years ago and they are still one of my favorite. The color of this jean is between blue and grey and very soft. My usual size is either 29 or 30 depending on the jean and fit. For this jean, I ordered both the 28 and 29. The 28 was a better size for me. Just for reference, I am 5\'5"" tall and weigh about 133. My shape is pear like.', '80'], ['not the best', 'Fabric is soft and very stretchy so the font hold much shape. Denim this soft is better used for legging style jeans. After 5 hours of wear, the fly puckered so I appeared to have a male package. They did look good from the back!', '32']]",5 people are viewing,Heavily faded stretch-denim jeans slung low on the waist have that perfect combo of cool style and laid-back comfort.
Wedgie High Waist Raw Hem Straight Leg Jeans,Wedgie High Waist Raw Hem Straight Leg Jeans,$98.00,,https://n.nordstrommedia.com/id/sr3/827df387-4c86-400c-9c32-867d5044c7d2.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,3.5 out of 5,(6),"[['LOVE!', 'My first pair of Levi’s in a really long time! I love the way they fit, the denim isn’t as stiff as I expected, and the color is perfect. The shorter inseam works great as I’m 5’2”. In Madewell jeans I’m a size 25, so chose the same for these jeans and they fit like a glove. I’m anticipating a little give in the fabric as I wear them, but not to the point that I lose any snug-ness in the legs or butt.', '80'], ['classic', 'I am 5’1, 125lb and curvy on the bottom. I am typically a 26 or 27 in jeans. These don’t stretch so I went with a 27. They’re somewhat big in the waist but I don’t mind. I do have to cut all my Levi’s on the bottom because they’re not made for shorties. But I don’t mind making my own distressing.', '80'], ['Stiff and small', ""These are a cute color but very stiff and run small. Had to return because they didn't fit right."", '16'], ['Made for a slim build', 'I really wanted to like these jeans but they were cut pretty narrow', '32'], ['classic', 'I had heard great things about the wedgie fit so I decided to give it a try. They look very chic and go with everything but feel a little stiff so I imagine the material will loosen up with wear (I hope). I got a size 28 because I bought wedgie fit a while back in 27 and immediately had to return because they wouldn’t even go up my thighs. I am usually a 27 or 4/6 so I would recommend to size up! The denim does feel very high quality so I hope they will get better with wear because they are awkward to wear right now with the stiffness.', '64']]",7 people are viewing,These raw-hem straight-leg jeans come with a high waist and cheeky seat designed to showcase your curves and make you feel like a '90s supermodel.
Jamie High Waist Jagged Hem Ankle Skinny Jeans,Jamie High Waist Jagged Hem Ankle Skinny Jeans,$39.99,50%,https://n.nordstrommedia.com/id/sr3/3e0f8e2d-e78a-4048-a3dd-d5fe6151dba0.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,4.4 out of 5,(16),"[['Good quality jeans', 'I love how flattering these jeans are. They are just a little hard to figure out with the sizing. For reference I am 5’7 119lbs, I kept the size 4 because the size 6 was loose on my waist and crotch area. They have minimal stretch. Also, sizes 2 and 6 are just as pictured. Sizes 4 have a small scuff rip on the butt area that I did not expect!(Shows up on my picture) However, it’s a very small detail and since all the size 4’s came with the same rip, I decided to just get the size 4 regardless.', '64'], ['Returning', 'Way shorter than i expected, but still good quality. Will be returning', '32'], ['Run very small', ""These are really cute but they run way way too small. For me there were very tight in the calves. I'm usually a 27 and I ordered the 32 and they are too tight in all but the waist, I will be returning."", '32'], ['Perfect Skinny Jeans', 'These are the perfect skinny jeans! I ordered a Petite Size 2 and it does fit like a Petite Size 0 just like the description says. The pocket placement on the rear is flattering. The legs fit like leggings - no wrinkles or saggy areas. Like a second skin.', '80'], ['Buy Buy Buy', 'Size 12, 160lbs, 5’6 Great fit, perfect jeans, love the hem detail. Would buy again! Also my first time buying Topshop, great quality for price.', '80']]",19 people are viewing,Jagged cuffs enhance the edgy vibes of these shapely stretch skinnies designed in a trend-right light wash.
Wedgie Icon Fit Ripped Straight Leg Jeans,Wedgie Icon Fit Ripped Straight Leg Jeans,$98.00,,https://n.nordstrommedia.com/id/sr3/d4aa3c25-2520-45fa-8461-4f9395e41290.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,2.5 out of 5,(31),"[['Soo small! Size up.', 'Reviews are right! Size up at least one size- two if you want them to fit loose like they should. They were incredibly small!', '32'], ['RUNS EXTREMELY SMALL', 'I didn’t believe the reviews and stuck with my normal size. I’m usually a 24/00. Purchased the 24 and couldn’t even button them. I was sucking in HARD too. It’s a fly button. I couldn’t get the bottom button to close to save my life. I got cocky. Don’t be like me lol. Definitely size up 1-2 size. It made my flat, nonexistent butt look great though. The color is beautiful IRL life. I am exchanging for a 25. We’ll see how that goes...', '48'], ['Couldn’t even zip', 'Sizing is way off- order multiple sizes ho', '16'], ['size up!!', 'These jeans are so stiff and tight. I’m normally a 25 and couldn’t even get these on. Once I did, after lots of wiggling, they wouldn’t button. Size up one or two sizes', '48'], ['Size up one if athletic build', 'First pair of Wedgies for me- I’m usually a 501 girl. I wear a 27 in 501s and a 28 in 721s - the 28 in these fit me best, as the waist is super tapered at the top. Cute pair of jeans though, once you get over the fact that they legit look so cute in the booty because they’re actually giving you a wedgie.', '64']]",9 people are viewing,"Inspired by cheeky vintage Levi's, these faded and ripped straight-leg jeans hug the hips to showcase your curves to greatest effect."
Jamie High Waist Skinny Jeans,Jamie High Waist Skinny Jeans,$70.00,,https://n.nordstrommedia.com/id/sr3/903acd48-11db-4ff9-b9fa-7ec82ea29a7b.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,3.8 out of 5,(12),"[['not for me', 'Like the color but the fit isn\'t right for me. I ordered 28W""fit like 4"" which is my usual size. It was very tight so I exchanged with next size up but only available 30W""fit like 6 or 8"". It is pretty loose like size 8 to me. I have other Topshop Jean not stretch which I wear size 6. I wish they have 29W probably size 6. Not sure why the size is off for 29W.', '64'], ['no', 'No! These don’t look like the picture. They run very short and I’m 5’2. They don’t go to my ankle. If that’s the look your going for then get them but they don’t look like the picture! No!', '16'], ['Great quality and fit, especially for the price!', 'These jeans have a lot of stretch, but they don\'t stretch out as you wear them. I wore them two days in a row with no change in the fit at all. They remind me of Allsaints jeans because of the color, length, and slightly destructed hem. I wear a 28 in J. Crew and Topshop, and these fit as expected. I\'m 5\'5"", and the 30"" length is perfect. I love them!', '80'], ['So small', 'First thing these are soft to touch and have a bit of stretch to them. But they are small I usually wear a 26 but these fit like a 24 and the length is a little too short for my liking. Maybe order two sizes up to get them on.', '32'], ['Nice Jeans', 'I like these jeans but they are a little tight in the butt / upper thighs. I will keep them because the fit is very flattering and they seem like they will loosen after wearing them for a little. The material is nice. I recommend these.', '64']]",5 people are viewing,These closet-essential skinnies are designed in an easy faded wash with edgy raw hems.
Caroline High Waist Straight Leg Crop Jeans,Caroline High Waist Straight Leg Crop Jeans,$25.98,52%,https://n.nordstrommedia.com/id/sr3/cbabed4e-1696-4416-93a8-8db93f9de0f6.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,3.9 out of 5,(12),"[['Note some legs are hemmed and not frayed!', 'I got these jeans because they were very inexpensive (super on sale) and I liked the idea of the crop. The proportion of the fit is fairly good for me. I have a small waist and large hips and thighs so am happy if anything can fit my hips and is not be totally gigantic in the waist which these are not. I am however considering getting another pair in a smaller size. For the price I may keep both.  I ordered a 31"" and I usually wear anything from a 10 to a 14 in jeans. They are short but I would not say they are crop but I am very happy with the length. I am 5\'4"".  One thing to point out is that my pair is hemmed and not frayed. I double and triple checked and this is the exact pair Nordstrom says I ordered but mine is hemmed. Not sure what to make of that but I actually prefer the hemmed version. If I order another pair will be interesting to see what they are like.  ', '80'], ['Flattering', 'These jeans are super cute. I was happy with the fit: not too high-waisted, just the right amount of stretch, and comfy!', '80'], ['very long', 'I am 5’2 and the length is long. It’s raw hem so you can just cut it. It’s ok not to die for.', '32'], ['Great Jeans', 'I highly recommend these jeans if you do not want to splurge. They’re a great fit not too tight or too loose.', '80'], ['comfortable and stretchy', 'Comfortable jeans with a nice amount of stretch.', '64']]",5 people are viewing,"Great weekends start with fun plans and a pair of comfy straight-leg jeans that are cropped with raw, lightly frayed edges."
Good Flare Fray Hem Jeans,Good Flare Fray Hem Jeans,$105.00,40%,https://n.nordstrommedia.com/id/sr3/42156cda-65e1-45de-902b-a4887a2e0d60.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,4.0 out of 5,(1),"[['Very cute, too small', 'These are really nice jeans, but unfortunately too small. I\'m not sure why it says ""true to size"" for plus size because I got an 18, which is what I normally wear, and they are EXTREMELY small. Like, I guarantee a 20 wouldn\'t even fit. Too bad because they\'re really cute.', '64']]",10 people are viewing,"Vintage-inspired flares with frayed hems are designed with advanced stretch recovery, so they hold their shape wear after wear."
Dre Fray Hem Crop Slim Boyfriend Jeans,Dre Fray Hem Crop Slim Boyfriend Jeans,$225.00,,https://n.nordstrommedia.com/id/sr3/8778b283-8fb9-43b0-a911-31f89bca36a8.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,5.0 out of 5,(1),"[['Perfect summer denim!', 'I love these! I was worried about how they\'d fit since I\'m short (5\'2"") and did not want to get them hemmed. They\'re definitely longer than the photo but I still love them. They look perfect with a small heel and are very comfortable. I also ordered a size up since they\'re ""low rise"" but really I could have gotten my size since they\'re a little loose on me.', '80']]",3 people are viewing,Keep it casual in these stretch-denim boyfriend jeans distressed with subtle threadbare abrasions and raggedy hems that will get more frayed with time.
Everett Slim Straight Leg Jeans,Everett Slim Straight Leg Jeans,$99.00,50%,https://n.nordstrommedia.com/id/sr3/5684a9c2-5ca3-41e2-a45b-d85a356ef0b9.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,4.2 out of 5,(5),"[['Poor Quality', 'The quality of your clothes has gone down for the last 2 -3 years. I probably return 50% of the items I buy. Many of my friends agree with my opinion.', '32'], ['Too large and returned for replacement.', 'I had to return the jeans in exchange for a smaller size. I am still waiting for the replacement.', '64'], ['AG Jeans-A great stretch fit', 'Great Jeans, especially when on sale!', '80'], ['AG is the BEST denim!', 'Great fit and color/wash! AG denim is by far the best brand for Denim!!', '80'], ['comfortable', 'I have been wearing Levis for years and after switching to AG pants they are more comfortable and durable.', '80']]",9 people are viewing,"Tonal stitching furthers the sophisticated look of dark-wash jeans that fit comfortably through the rise, seat and thighs and slim from the knee to the hem."
Button Front Crop Skinny Jeans,Button Front Crop Skinny Jeans,$89.50,33%,https://n.nordstrommedia.com/id/sr3/226e27aa-de23-4090-a487-4ea597d238da.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,4.5 out of 5,(66),"[['Love these!', 'Perfect fit! I followed the recommendations of other reviewers and sized down one size. For reference, I\'m 5\'10"" and 140 lb. and usually wear a size 28. I bought these in a 27. They were a little snug at first -- more like very fitted leggings -- but they loosened up after a little while. They hold their shape, and they don\'t get baggy in the knees like other brands tend to do. These were my first jeans from Madewell, and I\'ll be sure to buy some more!', '80'], ['Length is great', 'Great length if you are short. I am 5 ft 1in and the jeans just hit my ankles. Size up.', '64'], ['button front crop skinny jeans', 'Fit great love them true to size', '80'], ['Stretch Out', ""I bought both the 32 and 33. I wore the 33's to work and had to keep hiking them up. They stretched out quite a bit! I'll keep both though since they were on sale and I like having different size jeans for different days I feel bloated!"", '64'], ['Love Love Love', 'Amazing fit and because they button, the zipper doesn’t snag my baby tees.', '80']]",26 people are viewing,"Made of soft-to-the-touch denim woven with Tencel® lyocell, Madewell's 9-inch mid-rise skinny crop jeans are lean and legs-for-days sexy."
Mom Jeans,Mom Jeans,$69.00,,https://n.nordstrommedia.com/id/sr3/ef0353ad-249b-4235-a664-1a0c8cf526d2.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,3.6 out of 5,(54),"[['Cute pants', 'I’m 5’3, 102 lbs, got a size 25, and wish I had gotten 24 or even 23. Cute pants, but they make me look awkward.', '48'], ['epitome of mom jeans', 'They really do fit like what u want mom jeans to fit like. I’m 5’4” and I weight like 140 and a 30 was PERFECT! I’m always a medium/ 28-30 in pants. I went up to make them baggier but it wouldn’t have even been necessary. Perfect high rise.', '80'], ['Cute but long', ""I love these jeans and have them in other colors. There is one issue I found is they're really long. I'm 5'5 and normally always fit into a regular size jeans with no issues with length and my other BDG mom jeans also fit fine so I'm not sure why these are sooo long on me. I am either going to hem or cut a few inches off the bottom like a friend of mine did to create a raw hem look!"", '64'], ['mom jeans at its finest', 'My daughter is 105 / 5’4. We got a size bigger as suggested but had to exchange for her true to size, I would even think she could go down another size , but I guess it’s the look. She likes them. Quality is nice. Would recommend them.', '80'], ['Size up twice if you want the mom jean look', 'I’m a size 6, 27” waist and 36” hips athletic/average build and I wear a size 27 for my other BDG jeans. I sized up based off the other reviews, and the waist fits fine but these jeans are vacuum sealing my bum and upper thigh region! I sized up because I wanted the mom jean look, but I’ll have to try another size up in order to accomplish that. It seems like these pants are tailored for slim/model bodies because these pants have the narrowest hip out of all the jeans I own (and this is after sizing up) I do love BDG jeans because they’re good quality, I’ve had one pair for over 6 years now, but these pants for some reason ran really small.', '48']]",10 people are viewing,Throw it way back to the '80s with these retro high-waist jeans cut from faded rigid denim that will get softer over time.
